Node,superkingdom,kingdom
1608454, Eukaryota , Metazoa 
1608454, Eukaryota , Metazoa 
1608454, Eukaryota , Metazoa 
1608454, Eukaryota , Metazoa 
1608454, Eukaryota , Metazoa 
1608454, Eukaryota , Metazoa 
1608454, Eukaryota , Metazoa 
1608454, Eukaryota , Metazoa 
1608454, Eukaryota , Metazoa 
8175, Eukaryota , Metazoa 
8175, Eukaryota , Metazoa 
8175, Eukaryota , Metazoa 
8175, Eukaryota , Metazoa 
8175, Eukaryota , Metazoa 
8175, Eukaryota , Metazoa 
8175, Eukaryota , Metazoa 
8175, Eukaryota , Metazoa 
8175, Eukaryota , Metazoa 
75366, Eukaryota , Metazoa 
75366, Eukaryota , Metazoa 
75366, Eukaryota , Metazoa 
75366, Eukaryota , Metazoa 
75366, Eukaryota , Metazoa 
75366, Eukaryota , Metazoa 
75366, Eukaryota , Metazoa 
75366, Eukaryota , Metazoa 
75366, Eukaryota , Metazoa 
75366, Eukaryota , Metazoa 
75366, Eukaryota , Metazoa 
75366, Eukaryota , Metazoa 
75366, Eukaryota , Metazoa 
75366, Eukaryota , Metazoa 
75366, Eukaryota , Metazoa 
75366, Eukaryota , Metazoa 
75366, Eukaryota , Metazoa 
75366, Eukaryota , Metazoa 
75366, Eukaryota , Metazoa 
2489341, Eukaryota , Metazoa 
375764, Eukaryota , Metazoa 
375764, Eukaryota , Metazoa 
375764, Eukaryota , Metazoa 
375764, Eukaryota , Metazoa 
375764, Eukaryota , Metazoa 
375764, Eukaryota , Metazoa 
375764, Eukaryota , Metazoa 
375764, Eukaryota , Metazoa 
375764, Eukaryota , Metazoa 
307959, Eukaryota , Metazoa 
307959, Eukaryota , Metazoa 
307959, Eukaryota , Metazoa 
307959, Eukaryota , Metazoa 
307959, Eukaryota , Metazoa 
