Node,superkingdom,kingdom,phylum
3708, Eukaryota , Viridiplantae , Streptophyta 
392030, Eukaryota , Metazoa , Rotifera 
392030, Eukaryota , Metazoa , Rotifera 
3708, Eukaryota , Viridiplantae , Streptophyta 
3708, Eukaryota , Viridiplantae , Streptophyta 
3708, Eukaryota , Viridiplantae , Streptophyta 
3708, Eukaryota , Viridiplantae , Streptophyta 
392030, Eukaryota , Metazoa , Rotifera 
3708, Eukaryota , Viridiplantae , Streptophyta 
392030, Eukaryota , Metazoa , Rotifera 
3708, Eukaryota , Viridiplantae , Streptophyta 
392030, Eukaryota , Metazoa , Rotifera 
392030, Eukaryota , Metazoa , Rotifera 
392030, Eukaryota , Metazoa , Rotifera 
3708, Eukaryota , Viridiplantae , Streptophyta 
392030, Eukaryota , Metazoa , Rotifera 
392030, Eukaryota , Metazoa , Rotifera 
392030, Eukaryota , Metazoa , Rotifera 
3708, Eukaryota , Viridiplantae , Streptophyta 
2762512, Eukaryota , Metazoa , Rotifera 
2762512, Eukaryota , Metazoa , Rotifera 
2762512, Eukaryota , Metazoa , Rotifera 
2762512, Eukaryota , Metazoa , Rotifera 
2762512, Eukaryota , Metazoa , Rotifera 
2762512, Eukaryota , Metazoa , Rotifera 
392032, Eukaryota , Metazoa , Rotifera 
2762512, Eukaryota , Metazoa , Rotifera 
392032, Eukaryota , Metazoa , Rotifera 
2762511, Eukaryota , Metazoa , Rotifera 
392032, Eukaryota , Metazoa , Rotifera 
392032, Eukaryota , Metazoa , Rotifera 
392032, Eukaryota , Metazoa , Rotifera 
392032, Eukaryota , Metazoa , Rotifera 
392032, Eukaryota , Metazoa , Rotifera 
433720, Eukaryota , Metazoa , Rotifera 
2762511, Eukaryota , Metazoa , Rotifera 
392033, Eukaryota , Metazoa , Rotifera 
433720, Eukaryota , Metazoa , Rotifera 
392032, Eukaryota , Metazoa , Rotifera 
392032, Eukaryota , Metazoa , Rotifera 
392032, Eukaryota , Metazoa , Rotifera 
2762511, Eukaryota , Metazoa , Rotifera 
2762511, Eukaryota , Metazoa , Rotifera 
