Node,"['Kingdom', 'N', 'C']"
3625,"['E', 'Actinidia', 'Kiwi']"
199376,"['E', 'Actinodium', 'Albany']"
2893586,"['B', 'Actinoalloteichus', '']"
3627,"['E', 'Actinidia', 'Kiwi']"
571810,"['E', 'Actinopyga', 'Deep-water']"
6106,"['E', 'Actinia', 'Beadlet']"
165200,"['E', 'Actinidia', 'Velvet']"
718,"['B', 'Actinobacillus', '']"
1120938,"['B', 'Actinomadura', '']"
396334,"['E', 'Actinia', 'Strawberry']"
69485,"['B', 'Actinoplanes', '']"
1850,"['B', 'Actinopolyspora', '']"
160769,"['E', 'Actinotus', 'Flannel']"
320702,"['E', 'Actitis', 'Common']"
46161,"['B', 'Actinomadura', '']"
69484,"['B', 'Actinoplanes', '']"
720,"['B', 'Actinobacillus', '']"
63976,"['E', 'Actias', 'Luna']"
512565,"['B', 'Actinoplanes', '']"
190659,"['E', 'Actitis', 'Spotted']"
446462,"['B', 'Actinosynnema', '']"
1866,"['B', 'Actinoplanes', '']"
33906,"['B', 'Actinopolyspora', '']"
335395,"['E', 'Actinemys', 'Western']"
995066,"['B', 'Actinopolyspora', '']"
1655,"['B', 'Actinomyces', '']"
1115803,"['B', 'Actinomyces', '']"
182080,"['B', 'Actinomadura', '']"
416269,"['B', 'Actinobacillus', '']"
537457,"['B', 'Actinobacillus', '']"
42198,"['B', 'Actinosynnema', '']"
434271,"['B', 'Actinobacillus', '']"
715,"['B', 'Actinobacillus', '']"
64040,"['E', 'Actaea', 'Black']"
111015,"['B', 'Actinomyces', '']"
1872,"['B', 'Actinoplanes', '']"
134676,"['B', 'Actinoplanes', '']"
649831,"['B', 'Actinoplanes', '']"
67854,"['B', 'Actinobacillus', '']"
571813,"['E', 'Actinopyga', 'New']"
237531,"['B', 'Actinomycete', '']"
38989,"['B', 'Actinomycete', '']"
72570,"['B', 'Actinomadura', '']"
716,"['B', 'Actinobacillus', '']"
29317,"['B', 'Actinomyces', '']"
339671,"['B', 'Actinobacillus', '']"
6105,"['E', 'Actinia', 'Australian']"
1867,"['B', 'Actinoplanes', '']"
1869,"['B', 'Actinoplanes', '']"
1656,"['B', 'Actinomyces', '']"
227975,"['E', 'Actineria', 'Okinawan']"
232576,"['E', 'Acuticosta', 'Freshwater']"
863974,"['E', 'Acutisoma', 'Neotropical']"
2072973,"['E', 'Aculamprotula', 'Freshwater']"
34664,"['E', 'Acyrthosiphon', 'Blue']"
7030,"['E', 'Acyrthosiphon', 'Aphid']"
7029,"['E', 'Acyrthosiphon', 'Pea']"
559140,"['E', 'Acytolepis', 'Common']"
361139,"['E', 'Acytostelium', 'Slime']"
928294,"['V', 'Human', 'HAdV-1']"
7084,"['E', 'Adalia', 'Two-spotted']"
115343,"['E', 'Adalia', 'Ten-spotted']"
69109,"['E', 'Adansonia', 'Baobab']"
69110,"['E', 'Adansonia', 'Australian']"
69111,"['E', 'Adansonia', 'Madagascan']"
176095,"['E', 'Adamsia', 'Cloak']"
69114,"['E', 'Adansonia', 'Malagasy']"
69116,"['E', 'Adansonia', 'Baobab']"
59515,"['E', 'Addax', 'Addax']"
10533,"['V', 'Human', 'HAdV-1']"
10515,"['V', 'Human', 'HAdV-2']"
45659,"['V', 'Human', 'HAdV-3']"
28280,"['V', 'Human', 'HAdV-4']"
28285,"['V', 'Human', 'HAdV-5']"
10534,"['V', 'Human', 'HAdV-6']"
10519,"['V', 'Human', 'HAdV-7']"
31545,"['V', 'Human', 'HAdV-8']"
10527,"['V', 'Human', 'HAdV-9']"
28282,"['V', 'Human', 'HAdV-12']"
28276,"['V', 'Human', 'HAdV-15']"
31544,"['V', 'Human', 'HAdV-16']"
46922,"['V', 'Human', 'HAdV-17']"
10528,"['V', 'Human', 'HAdV-18']"
343463,"['V', 'Human', 'HAdV-11']"
308444,"['V', 'Human', 'HAdV-15/H9']"
343462,"['V', 'Human', 'HAdV-11']"
10529,"['V', 'Human', 'HAdV-31']"
10522,"['V', 'Human', 'HAdV-35']"
28284,"['V', 'Human', 'HAdV-40']"
10524,"['V', 'Human', 'HAdV-41']"
